Sr. No.,Job Title,Company Name,Experience Required,Salary,Location,Job Description,Key Skills
455,Senior Functional Safety Engineer Hardware,BLAIZE,,,"Hyderabad, Telangana","
BE/BTech/ME/MTech in Computer Science or Electronics or Electrical.
Perform safety analysis by doing the FMEDA on targeted RTL.
",
456,Software Engineer-II,Creditvidya,,,"Hyderabad, Telangana","
Should understand the business requirements, convert the requirement to technical specifications.
Collaborate in software design activities & discussions…
",
457,Technical Support Engineer,Samespace,,,"Mumbai, Maharashtra","
Samespace is looking for a customer focused Technical Support Engineer with a proven track record of providing excellent customer and technical support.
",
458,Sr. Machine Learning Engineer,IDfy,,,"Mumbai, Maharashtra","
Be working on all aspects of a production machine learning system.
You will be acquiring data, training and building models, deploying models, building API…
",
459,"Software Engineer, Integrations",Dialpad,,,"Remote in Bengaluru, Karnataka","
The integrations team builds integrations between Dialpad and third party products to speed up our customer's workflows and give them a customized experience.
",
460,newSenior Automation Engineer AI/ML,Parallel Wireless,,,"Bengaluru, Karnataka","
Lead design and development of an automation framework and test cases to test AI applications.
Integrate automation test cases with the CI and CD framework.
",
461,ML Operations Engineer,Uniphore,,,"Bengaluru, Karnataka","
Collaborate with the data engineers and data scientists on feature development to containerise and build out the deployment pipelines for new modules.
",
462,"new(6400-1067) Senior Staff Engineer, DFT",Achronix Semiconductor Corporation,,,"Bengaluru, Karnataka","
Position Profile Name: Senior Staff Engineer.
Type of Position: Regular, Exempt.
The Hardware Engineering group in India is responsible for all SoC hardware and…
",
463,newStaff Software Engineer,BLAIZE,,,"Hyderabad, Telangana","
We are looking for a highly motivated compiler engineer to design and develop efficient code-generation and optimization techniques using LLVM infrastructure…
",
464,Security Engineer (VAPT),Sequretek,,,"Mumbai, Maharashtra","
Sequretek’ s cutting-edge solutions ensure increased efficiency in threat detection as the element of human dependency to write rules to detect are eliminated.
",
465,Python Developer,Samarth Softech Solutions Pvt Ltd,,,"Navi Mumbai, Maharashtra","
Must have completed at least 2 projects in AI/ML/Computer Vision.
Sound knowledge of Python3 (File handling, offline DB management, OpenCV, GUI programming).
",
466,newStaff Software Engineer,BLAIZE,,,"Hyderabad, Telangana","
We are looking for a highly motivated compiler engineer to design and develop efficient code-generation and optimization techniques using LLVM infrastructure…
",
467,Security Engineer (VAPT),Sequretek,,,"Mumbai, Maharashtra","
Sequretek’ s cutting-edge solutions ensure increased efficiency in threat detection as the element of human dependency to write rules to detect are eliminated.
",
468,Python Developer,Samarth Softech Solutions Pvt Ltd,,,"Navi Mumbai, Maharashtra","
Must have completed at least 2 projects in AI/ML/Computer Vision.
Sound knowledge of Python3 (File handling, offline DB management, OpenCV, GUI programming).
",
469,newSoftware Engineer,Dialpad,,,"Remote in Bengaluru, Karnataka","
You will work closely with the senior engineers across teams and leads on design approaches.
Our patented Voice Intelligence is embedded in every call to…
",
470,Electronics Engineer,Signify,,,"Pune, Maharashtra","
As a Electronics Engineer you’ll be responsible for ensuring successful conclusion of all phases of assigned standard engineering projects, within an…
",
471,Intern: Crash/Safety Engineer,Altair Engineering,,,"Bengaluru, Karnataka","
The Internship position is for a Crash and Safety Engineer in the Technical Support Team for Altair's Non Linear Explicit simulation products.
",
472,Machine Learning Engineer,iMerit,,,"Salt Lake, Kolkata, West Bengal","
Work closely with data engineers and delivery team to ensure the ongoing evolution and improvement of our data assets.
Excellent programming skills in Python.
",
473,Image Processing Engineer,AGEYE Technologies,,,"Bengaluru, Karnataka","
Position Type: Full-time – Permanent.
Collaborating with the data science team through research and developing image processing algorithms to solve different…
",
474,Solutions Engineer,Aisera,,,"Bengaluru, Karnataka","
We have built the world's first AISM solution for IT, HR, Customer Service, Facilities, and IT/Cloud Operations.
Define, build, and execute Proof of Concepts.
",
475,IoT Engineer Axon,DataKrew Pvt. Ltd.,,,"Remote in Bengaluru, Karnataka","
Secure and robust IoT solutions built on our platform have been deployed in multiple sectors – such as Energy, Manufacturing, Maritime, Buildings,…
",
476,DevOps Engineer,NTT Ltd,,,"Bengaluru, Karnataka","
The role is responsible for providing a professional second-line remote technical support and engineering service to clients by proactively identifying and…
",
477,Senior AI Engineer,Accubits Technologies,,,India,"
Designs and develops scalable solutions using AI tools and Machine Learning models.
Performs research and testing to develop ML algorithms.
",
478,newSr. Software Engineer,Automation Anywhere,,,"Bengaluru, Karnataka","
Automation Anywhere is a global leader in Robotic Process Automation (RPA), empowering customers to automate business processes with intelligent software bots –…
",
479,newAIOPS IM - AIOPS Engineer,EY,,,"Bengaluru, Karnataka+1 location","
Responsible for engineering, roadmap planning and maintaining Enterprise Technology’s Event Monitoring Console (MoogSoft), including tool configuration via…
",
480,mac OS Engineer (Ahmedabad / Bangalore),Sophos,,,India,"
Support and train peers and junior engineers in your area of expertise.
As an engineer for the End User Compute (EUC) macOS estate, you will be responsible for…
",
481,Staff Data Scientist,Walmart Global Tech India,,,"Bengaluru, Karnataka","
Search Data Science team at Walmart Global Tech is focused on using the latest research in artificial intelligence (AI), machine learning (ML), statistics, deep…
",
482,newRemote MLOps Engineer (USD Compensation),Turing,,,Remote,"
At least 3+ years of relevant experience as a software engineer.
Work alongside a community of Google, Facebook, and Microsoft engineers.
",
483,Business Development Manager,Censius,,,Remote,"
Censius AI Observability Platform enables Data scientists, ML engineers, and Business leaders to entrust their models, effortlessly monitor pipelines, and…
",
484,Data Scientist,Anzy Careers Private Limited,,,"Bengaluru, Karnataka","
Should have a proven track record of co-ordinating with product managers, data engineers and other stake-holders.
Good proficiency in Python, Scala and Pyspark.
",
485,newDirector of Information Security,ACI Group,,,"Bengaluru, Karnataka","
The Director of Information Security is responsible for ensuring the integrity of the company's information resources at the network, operating system, and…
",
486,newSolution Engineer,NOKIA,,,"Chennai, Tamil Nadu","
Should possess 1+ years of relevant experience in Telecom domain.
Good understanding of 5G/4G/3G technologies and the network call flow.
",
487,Crimson AI - DevOps Engineer,Crimson Interactive,,,"Hybrid remote in Mumbai, Maharashtra","
Working closely with the engineering team to understand and support the infra operations.
Improve on the existing infrastructure processes of our entire product…
",
488,AI/ML Intern,Verisk,,,"Hyderabad, Telangana","
Verisk (Nasdaq: VRSK) provides data and insights to our customers in insurance, energy and the financial services markets so they can make faster and more…
",
489,Crimson AI - Senior Engineering Manager - Python/ Golang/ No...,Crimson Interactive,,,"Hybrid remote in Mumbai, Maharashtra","
Improve on current architecture, and build for the future.
Closely work with product team in execution of roadmap.
",
490,Senior Executive,Indigo Airlines,,,"Gurgaon, Haryana","
Level : A and B(as per position hired).
Excellent programming skills in Python, creation of responsive dashboard, data mining, handle large data set.
",
491,Lead Engineer,Prodapt SA,,,"Chennai, Tamil Nadu","
Should have proven working experience on Java Application Support (L2/L3).
Should have proven working experience on Unix/Linux platform along with shell…
",
492,newDesign Engineer I,Cadence Design Systems,,,"Pune, Maharashtra","
0-2 years of experience in RTL Design/Verification.
Experience in developing complex test bench in System Verilog using OVM/UVM methodology.
",
493,Senior Computer Vision Engineer,WAVELABS TECHNOLOGIES,,,"Hyderabad, Telangana","
Work with product managers and other engineers in order to help define user-level details by providing technical feasibility/difficulty estimates.
",
494,newTechnical Support Professional: AMS,IBM,,,"Pune, Maharashtra+1 location","
To think along with clients and sell.
Technical Support: Application Support Engineer needs to have at least a working knowledge of database management,…
",
495,newServer Engineer,ai,,,"Bengaluru, Karnataka","
Handling any new program server policies or server/services requirement to suggest the engineers and.
Industry leaders across Financial Services, Healthcare,…
",
496,newServer Engineer,ai,,,"Bengaluru, Karnataka","
Handling any new program server policies or server/services requirement to suggest the engineers and.
Industry leaders across Financial Services, Healthcare,…
",
497,"Alexa Voice and SmartScreen SDK, AVS SDK",ADCI - Karnataka,,,"Bengaluru, Karnataka","
We are looking for a passionate engineer with experience in building innovative solutions for wide variety of applications.
",
498,newDSP Lead Design Engineer,Cadence Design Systems,,,"Pune, Maharashtra","
This position involves development of application examples, libraries and benchmarks for DSP processor cores used in Vision, Imaging and AI domains.
",
499,Data Engineer,Prevalent AI,,,"Kochi, Kerala","
The primary role of a Data Engineer is to support development of various data engineering components of Prevalent’s Security Data Science Platform (SDS) across…
",
500,Power Performance Area Design Engineer,Intel,,,"Hybrid remote in Bengaluru, Karnataka","
About the Role: Intel Foundry Services is looking for design engineers to benchmark power, performance, and area (PPA) for Foundry process technology nodes on…
",
501,newPower BI Developer,Quaxigma,,,"Temporarily Remote in Bengaluru, Karnataka","
Work closely with data engineers and data scientists to optimally design and implement semantic data consumption within data visualization environments.
",
502,Team Leader Chemistry,PI Industries Ltd.,,,"Udaipur, Rajasthan","
The role holder shall report to the Group Leader and shall perform research activities as designing and conducting scientific experiments, analyzing and…
",
503,Software Engineer – Python,Crowe,,,"Noida, Uttar Pradesh","
A combination of data scientists and machine learning engineers create and deploy AI functionality into software to solve complex problems.
",
504,Junior Engineer - Product Development,MMG Innovative Engineering,,,"Ahmedabad, Gujarat","
Assisting senior engineers in day to day engineering tasks.
Forward-thinking, fast-paced company looking to hire a fresher candidate for the position of Junior…
",
505,newPre Si Verification Engineer,Intel,,,"Hybrid remote in Bengaluru, Karnataka","
Develops pre Silicon functional validation tests to verify system will meet design requirements Creates test plans for RTL validation defining and running…
",
506,newDevOps Engineer,Ansira,,,"Pune, Maharashtra","
Maintain up-to-date documentation for DevOps processes and systems to streamline the onboarding of DevOps engineers.
Write code to build tools and automation.
",
507,Japanese Language Interpreter(N1/N2/N3),HRhelpdesk,,,"Bengaluru, Karnataka","
You will be required to participate in meetings for the following situations and provide accurate interpretation and minutes of the meetings.
",
508,newDeep Learning Deployment Engineer (Cloud),Conxai Technologies GmbH,,,"Bengaluru, Karnataka","
We are building the first NO-CODE AI PLATFORM for the AEC industry, with the 3rd generation Explainable AI, that allows users to create complex use cases with…
",
509,"Cloud Engineer, AI/ML",GE Appliances,,,"Hyderabad, Telangana","
Plan, scope, size, architect, design, prototype, and engineer solution components.
In this role the individual should have an acumen to pick up new technologies…
",
510,AI ML developer,JyoSH AI Solutions,,,"Remote in Mumbai, Maharashtra","
Create solution architecture in collaboration with domain experts, embedded software engineers and electronics engineer 4.
",
